timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-15T14:10:50,20260415_141034,1,1,1,25.44,01_avg_25.44C.png
2026-04-15T14:10:53,20260415_141034,1,2,2,25.54,02_avg_25.54C.png
2026-04-15T14:10:56,20260415_141034,1,3,3,25.47,03_avg_25.47C.png
2026-04-15T14:11:00,20260415_141034,1,4,4,25.44,04_avg_25.44C.png
2026-04-15T14:11:03,20260415_141034,1,5,5,25.56,05_avg_25.56C.png
2026-04-15T14:11:07,20260415_141034,1,6,6,25.58,06_avg_25.58C.png
2026-04-15T14:11:10,20260415_141034,1,7,7,25.56,07_avg_25.56C.png
2026-04-15T14:11:14,20260415_141034,1,8,8,25.57,08_avg_25.57C.png
2026-04-15T14:11:17,20260415_141034,1,9,9,25.60,09_avg_25.60C.png
2026-04-15T14:11:20,20260415_141034,1,10,10,25.54,10_avg_25.54C.png
2026-04-15T14:11:24,20260415_141034,1,11,11,25.56,11_avg_25.56C.png
2026-04-15T14:11:27,20260415_141034,1,12,12,25.44,12_avg_25.44C.png
2026-04-15T14:11:30,20260415_141034,1,13,13,25.54,13_avg_25.54C.png
2026-04-15T14:11:34,20260415_141034,1,14,14,25.55,14_avg_25.55C.png
2026-04-15T14:11:37,20260415_141034,1,15,15,25.51,15_avg_25.51C.png
2026-04-15T14:11:55,20260415_141034,2,1,16,25.81,16_avg_25.81C.png
2026-04-15T14:11:58,20260415_141034,2,2,17,26.48,17_avg_26.48C.png
2026-04-15T14:12:02,20260415_141034,2,3,18,25.64,18_avg_25.64C.png
2026-04-15T14:12:05,20260415_141034,2,4,19,25.60,19_avg_25.60C.png
2026-04-15T14:12:08,20260415_141034,2,5,20,25.54,20_avg_25.54C.png
2026-04-15T14:12:12,20260415_141034,2,6,21,25.60,21_avg_25.60C.png
2026-04-15T14:12:15,20260415_141034,2,7,22,26.50,22_avg_26.50C.png
2026-04-15T14:12:18,20260415_141034,2,8,23,25.82,23_avg_25.82C.png
2026-04-15T14:12:22,20260415_141034,2,9,24,30.39,24_avg_30.39C.png
2026-04-15T14:12:25,20260415_141034,2,10,25,25.80,25_avg_25.80C.png
2026-04-15T14:12:29,20260415_141034,2,11,26,28.87,26_avg_28.87C.png
2026-04-15T14:12:32,20260415_141034,2,12,27,29.00,27_avg_29.00C.png
2026-04-15T14:12:35,20260415_141034,2,13,28,27.95,28_avg_27.95C.png
2026-04-15T14:12:39,20260415_141034,2,14,29,26.87,29_avg_26.87C.png
2026-04-15T14:12:42,20260415_141034,2,15,30,26.27,30_avg_26.27C.png
2026-04-15T14:12:54,20260415_141034,3,1,31,25.56,31_avg_25.56C.png
2026-04-15T14:12:57,20260415_141034,3,2,32,25.62,32_avg_25.62C.png
2026-04-15T14:13:01,20260415_141034,3,3,33,25.62,33_avg_25.62C.png
2026-04-15T14:13:04,20260415_141034,3,4,34,25.66,34_avg_25.66C.png
2026-04-15T14:13:07,20260415_141034,3,5,35,25.62,35_avg_25.62C.png
2026-04-15T14:13:11,20260415_141034,3,6,36,25.49,36_avg_25.49C.png
2026-04-15T14:13:14,20260415_141034,3,7,37,25.51,37_avg_25.51C.png
2026-04-15T14:13:17,20260415_141034,3,8,38,25.56,38_avg_25.56C.png
2026-04-15T14:13:21,20260415_141034,3,9,39,25.60,39_avg_25.60C.png
2026-04-15T14:13:24,20260415_141034,3,10,40,25.64,40_avg_25.64C.png
2026-04-15T14:13:28,20260415_141034,3,11,41,25.62,41_avg_25.62C.png
2026-04-15T14:13:31,20260415_141034,3,12,42,25.56,42_avg_25.56C.png
2026-04-15T14:13:34,20260415_141034,3,13,43,25.60,43_avg_25.60C.png
2026-04-15T14:13:38,20260415_141034,3,14,44,25.53,44_avg_25.53C.png
2026-04-15T14:13:41,20260415_141034,3,15,45,25.55,45_avg_25.55C.png
