timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-16T12:26:20,20260416_122533,1,1,1,27.16,01_avg_27.16C.png
2026-04-16T12:26:24,20260416_122533,1,2,2,27.18,02_avg_27.18C.png
2026-04-16T12:26:28,20260416_122533,1,3,3,28.12,03_avg_28.12C.png
2026-04-16T12:26:32,20260416_122533,1,4,4,30.51,04_avg_30.51C.png
2026-04-16T12:26:35,20260416_122533,1,5,5,29.35,05_avg_29.35C.png
2026-04-16T12:26:39,20260416_122533,1,6,6,26.39,06_avg_26.39C.png
2026-04-16T12:26:43,20260416_122533,1,7,7,28.65,07_avg_28.65C.png
2026-04-16T12:26:47,20260416_122533,1,8,8,27.87,08_avg_27.87C.png
2026-04-16T12:26:51,20260416_122533,1,9,9,29.91,09_avg_29.91C.png
2026-04-16T12:26:55,20260416_122533,1,10,10,29.00,10_avg_29.00C.png
2026-04-16T12:26:59,20260416_122533,1,11,11,30.57,11_avg_30.57C.png
2026-04-16T12:27:03,20260416_122533,1,12,12,30.15,12_avg_30.15C.png
2026-04-16T12:27:07,20260416_122533,1,13,13,29.89,13_avg_29.89C.png
2026-04-16T12:27:11,20260416_122533,1,14,14,29.89,14_avg_29.89C.png
2026-04-16T12:27:14,20260416_122533,1,15,15,28.30,15_avg_28.30C.png
2026-04-16T12:28:11,20260416_122533,2,1,16,27.03,16_avg_27.03C.png
2026-04-16T12:28:15,20260416_122533,2,2,17,27.96,17_avg_27.96C.png
2026-04-16T12:28:19,20260416_122533,2,3,18,27.13,18_avg_27.13C.png
2026-04-16T12:28:23,20260416_122533,2,4,19,27.97,19_avg_27.97C.png
2026-04-16T12:28:27,20260416_122533,2,5,20,27.68,20_avg_27.68C.png
2026-04-16T12:28:30,20260416_122533,2,6,21,27.49,21_avg_27.49C.png
2026-04-16T12:28:34,20260416_122533,2,7,22,27.03,22_avg_27.03C.png
2026-04-16T12:28:38,20260416_122533,2,8,23,27.81,23_avg_27.81C.png
2026-04-16T12:28:42,20260416_122533,2,9,24,27.98,24_avg_27.98C.png
2026-04-16T12:28:46,20260416_122533,2,10,25,28.07,25_avg_28.07C.png
2026-04-16T12:28:50,20260416_122533,2,11,26,28.14,26_avg_28.14C.png
2026-04-16T12:28:53,20260416_122533,2,12,27,28.81,27_avg_28.81C.png
2026-04-16T12:28:57,20260416_122533,2,13,28,28.99,28_avg_28.99C.png
2026-04-16T12:29:01,20260416_122533,2,14,29,28.23,29_avg_28.23C.png
2026-04-16T12:29:05,20260416_122533,2,15,30,27.00,30_avg_27.00C.png
2026-04-16T12:30:07,20260416_122533,3,1,31,28.36,31_avg_28.36C.png
2026-04-16T12:30:11,20260416_122533,3,2,32,28.14,32_avg_28.14C.png
2026-04-16T12:30:15,20260416_122533,3,3,33,28.19,33_avg_28.19C.png
2026-04-16T12:30:19,20260416_122533,3,4,34,28.63,34_avg_28.63C.png
2026-04-16T12:30:23,20260416_122533,3,5,35,27.49,35_avg_27.49C.png
2026-04-16T12:30:27,20260416_122533,3,6,36,27.76,36_avg_27.76C.png
2026-04-16T12:30:30,20260416_122533,3,7,37,27.17,37_avg_27.17C.png
2026-04-16T12:30:34,20260416_122533,3,8,38,27.33,38_avg_27.33C.png
2026-04-16T12:30:38,20260416_122533,3,9,39,27.31,39_avg_27.31C.png
2026-04-16T12:30:42,20260416_122533,3,10,40,27.30,40_avg_27.30C.png
2026-04-16T12:30:46,20260416_122533,3,11,41,27.34,41_avg_27.34C.png
2026-04-16T12:30:50,20260416_122533,3,12,42,27.30,42_avg_27.30C.png
2026-04-16T12:30:54,20260416_122533,3,13,43,27.41,43_avg_27.41C.png
2026-04-16T12:30:58,20260416_122533,3,14,44,27.32,44_avg_27.32C.png
2026-04-16T12:31:02,20260416_122533,3,15,45,27.29,45_avg_27.29C.png
