timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-16T12:13:40,20260416_121328,1,1,1,26.96,01_avg_26.96C.png
2026-04-16T12:13:44,20260416_121328,1,2,2,27.07,02_avg_27.07C.png
2026-04-16T12:13:48,20260416_121328,1,3,3,28.13,03_avg_28.13C.png
2026-04-16T12:13:52,20260416_121328,1,4,4,28.47,04_avg_28.47C.png
2026-04-16T12:13:56,20260416_121328,1,5,5,32.29,05_avg_32.29C.png
2026-04-16T12:14:00,20260416_121328,1,6,6,30.16,06_avg_30.16C.png
2026-04-16T12:14:04,20260416_121328,1,7,7,28.48,07_avg_28.48C.png
2026-04-16T12:14:08,20260416_121328,1,8,8,33.39,08_avg_33.39C.png
2026-04-16T12:14:12,20260416_121328,1,9,9,28.85,09_avg_28.85C.png
2026-04-16T12:14:16,20260416_121328,1,10,10,27.13,10_avg_27.13C.png
2026-04-16T12:14:20,20260416_121328,1,11,11,29.54,11_avg_29.54C.png
2026-04-16T12:14:24,20260416_121328,1,12,12,28.11,12_avg_28.11C.png
2026-04-16T12:14:28,20260416_121328,1,13,13,34.00,13_avg_34.00C.png
2026-04-16T12:14:32,20260416_121328,1,14,14,28.11,14_avg_28.11C.png
2026-04-16T12:14:36,20260416_121328,1,15,15,27.06,15_avg_27.06C.png
