timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-16T12:18:10,20260416_121737,1,1,1,29.03,01_avg_29.03C.png
2026-04-16T12:18:14,20260416_121737,1,2,2,29.18,02_avg_29.18C.png
2026-04-16T12:18:18,20260416_121737,1,3,3,29.14,03_avg_29.14C.png
2026-04-16T12:18:22,20260416_121737,1,4,4,29.17,04_avg_29.17C.png
2026-04-16T12:18:26,20260416_121737,1,5,5,29.09,05_avg_29.09C.png
2026-04-16T12:18:30,20260416_121737,1,6,6,29.15,06_avg_29.15C.png
2026-04-16T12:18:34,20260416_121737,1,7,7,29.21,07_avg_29.21C.png
2026-04-16T12:18:38,20260416_121737,1,8,8,29.26,08_avg_29.26C.png
2026-04-16T12:18:42,20260416_121737,1,9,9,29.32,09_avg_29.32C.png
2026-04-16T12:18:46,20260416_121737,1,10,10,29.15,10_avg_29.15C.png
2026-04-16T12:18:49,20260416_121737,1,11,11,29.39,11_avg_29.39C.png
2026-04-16T12:18:53,20260416_121737,1,12,12,29.28,12_avg_29.28C.png
2026-04-16T12:18:57,20260416_121737,1,13,13,29.34,13_avg_29.34C.png
2026-04-16T12:19:01,20260416_121737,1,14,14,29.50,14_avg_29.50C.png
2026-04-16T12:19:05,20260416_121737,1,15,15,29.42,15_avg_29.42C.png
