timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-16T12:34:25,20260416_123333,1,1,1,30.40,01_avg_30.40C.png
2026-04-16T12:34:28,20260416_123333,1,2,2,30.96,02_avg_30.96C.png
2026-04-16T12:34:32,20260416_123333,1,3,3,35.81,03_avg_35.81C.png
2026-04-16T12:34:36,20260416_123333,1,4,4,27.71,04_avg_27.71C.png
2026-04-16T12:34:40,20260416_123333,1,5,5,27.13,05_avg_27.13C.png
2026-04-16T12:34:44,20260416_123333,1,6,6,28.78,06_avg_28.78C.png
2026-04-16T12:34:48,20260416_123333,1,7,7,27.49,07_avg_27.49C.png
2026-04-16T12:34:52,20260416_123333,1,8,8,27.46,08_avg_27.46C.png
2026-04-16T12:34:56,20260416_123333,1,9,9,36.54,09_avg_36.54C.png
